datetime,close_spy,close_qqq
2020-08-07 05:00:00,334.57,271.47
2020-08-10 05:00:00,335.57,270.31
2020-08-11 05:00:00,332.8,265.19
2020-08-12 05:00:00,337.44,271.86
2020-08-13 05:00:00,336.83,272.48
2020-08-14 05:00:00,336.84,272.16
2020-08-17 05:00:00,337.91,275.32
2020-08-18 05:00:00,338.64,277.97
2020-08-19 05:00:00,337.23,276.1
2020-08-20 05:00:00,338.28,279.93
2020-08-21 05:00:00,339.48,281.87
2020-08-24 05:00:00,342.92,283.63
2020-08-25 05:00:00,344.12,285.86
2020-08-26 05:00:00,347.57,291.96
2020-08-27 05:00:00,348.33,291.05
2020-08-28 05:00:00,350.58,292.53
2020-08-31 05:00:00,349.31,294.88
2020-09-01 05:00:00,352.6,299.92
2020-09-02 05:00:00,357.7,302.76
2020-09-03 05:00:00,345.39,287.41
2020-09-04 05:00:00,342.57,283.58
2020-09-08 05:00:00,333.21,269.95
2020-09-09 05:00:00,339.79,277.88
2020-09-10 05:00:00,333.89,272.34
2020-09-11 05:00:00,334.06,270.45
2020-09-14 05:00:00,338.46,275.16
2020-09-15 05:00:00,340.17,279.06
2020-09-16 05:00:00,338.82,274.61
2020-09-17 05:00:00,335.84,270.32
2020-09-18 05:00:00,330.65,266.87
2020-09-21 05:00:00,326.97,267.51
2020-09-22 05:00:00,330.3,272.48
2020-09-23 05:00:00,322.64,264.16
2020-09-24 05:00:00,323.5,265.39
2020-09-25 05:00:00,328.73,271.56
2020-09-28 05:00:00,334.19,277.2
2020-09-29 05:00:00,332.37,275.95
2020-09-30 05:00:00,334.89,277.84
2020-10-01 05:00:00,337.04,282.25
2020-10-02 05:00:00,333.84,274.31
2020-10-05 05:00:00,339.76,280.16
2020-10-06 05:00:00,334.93,275.16
2020-10-07 05:00:00,340.76,279.92
2020-10-08 05:00:00,343.78,281.41
2020-10-09 05:00:00,346.85,285.71
2020-10-12 05:00:00,352.43,294.53
2020-10-13 05:00:00,350.13,294.52
2020-10-14 05:00:00,347.93,292.06
2020-10-15 05:00:00,347.5,290.1
2020-10-16 05:00:00,347.29,288.51
2020-10-19 05:00:00,342.01,283.8
2020-10-20 05:00:00,343.38,284.41
2020-10-21 05:00:00,342.73,284.19
2020-10-22 05:00:00,344.61,284.18
2020-10-23 05:00:00,345.78,284.74
2020-10-26 05:00:00,339.39,280.47
2020-10-27 05:00:00,338.22,282.66
2020-10-28 05:00:00,326.66,271.64
2020-10-29 05:00:00,329.98,276.39
2020-10-30 05:00:00,326.54,269.38
2020-11-02 06:00:00,330.2,269.98
2020-11-03 06:00:00,336.03,274.65
2020-11-04 06:00:00,343.54,286.91
2020-11-05 06:00:00,350.24,294.39
2020-11-06 06:00:00,350.16,294.61
2020-11-09 06:00:00,354.56,288.59
2020-11-10 06:00:00,354.04,283.42
2020-11-11 06:00:00,356.67,289.76
2020-11-12 06:00:00,353.21,288.4
2020-11-13 06:00:00,358.1,290.93
2020-11-16 06:00:00,362.57,293.2
2020-11-17 06:00:00,360.62,292.27
2020-11-18 06:00:00,356.28,290.11
2020-11-19 06:00:00,357.78,292.38
2020-11-20 06:00:00,355.33,290.38
2020-11-23 06:00:00,357.46,290.39
2020-11-24 06:00:00,363.22,294.47
2020-11-25 06:00:00,362.66,296.28
2020-11-27 06:00:00,363.67,299.01
2020-11-30 06:00:00,362.06,299.62
2020-12-01 06:00:00,366.02,303.46
2020-12-02 06:00:00,366.79,303.85
2020-12-03 06:00:00,366.69,304.28
2020-12-04 06:00:00,369.85,305.52
2020-12-07 06:00:00,369.09,307.25
2020-12-08 06:00:00,370.17,308.29
2020-12-09 06:00:00,366.85,301.31
2020-12-10 06:00:00,366.73,302.52
2020-12-11 06:00:00,366.3,301.85
2020-12-14 06:00:00,364.66,304.04
2020-12-15 06:00:00,369.59,307.29
2020-12-16 06:00:00,370.17,308.98
2020-12-17 06:00:00,372.24,311.0
2020-12-18 06:00:00,369.18,310.06
2020-12-21 06:00:00,367.86,308.92
2020-12-22 06:00:00,367.24,309.76
2020-12-23 06:00:00,367.57,308.2
2020-12-24 06:00:00,369.0,309.56
2020-12-28 06:00:00,372.17,312.68
2020-12-29 06:00:00,371.46,312.96
2020-12-30 06:00:00,371.99,312.97
2020-12-31 06:00:00,373.88,313.74
2021-01-04 06:00:00,368.79,309.31
2021-01-05 06:00:00,371.33,311.86
2021-01-06 06:00:00,373.55,307.54
2021-01-07 06:00:00,379.1,314.98
2021-01-08 06:00:00,381.26,319.03
2021-01-11 06:00:00,378.69,314.42
2021-01-12 06:00:00,378.77,313.92
2021-01-13 06:00:00,379.79,316.04
2021-01-14 06:00:00,378.46,314.35
2021-01-15 06:00:00,375.7,311.86
2021-01-19 06:00:00,378.65,316.41
2021-01-20 06:00:00,383.89,323.77
2021-01-21 06:00:00,384.24,326.36
2021-01-22 06:00:00,382.88,325.42
2021-01-25 06:00:00,384.39,328.11
2021-01-26 06:00:00,383.79,328.59
2021-01-27 06:00:00,374.41,319.43
2021-01-28 06:00:00,377.63,321.32
2021-01-29 06:00:00,370.07,314.56
2021-02-01 06:00:00,376.23,322.42
2021-02-02 06:00:00,381.55,327.68
2021-02-03 06:00:00,381.85,326.38
2021-02-04 06:00:00,386.19,330.24
2021-02-05 06:00:00,387.71,331.36
2021-02-08 06:00:00,390.51,333.58
2021-02-09 06:00:00,390.25,333.51
2021-02-10 06:00:00,390.08,332.75
2021-02-11 06:00:00,390.71,334.58
2021-02-12 06:00:00,392.64,336.45
2021-02-16 06:00:00,392.3,335.54
2021-02-17 06:00:00,392.39,333.93
2021-02-18 06:00:00,390.72,332.47
2021-02-19 06:00:00,390.03,331.02
2021-02-22 06:00:00,387.03,322.44
2021-02-23 06:00:00,387.5,321.48
2021-02-24 06:00:00,391.77,324.13
